Security Name (Fund);SPYI;AVWC
Freeport-McMoRan Inc.;0,114449118;0,143234599
Kinross Gold Corporation;0,022052359;0,142975211
Truist Financial Corporation;0,107450119;0,142794033
Wesfarmers Limited;0,10077928;0,14153062
Vertiv Holdings Co. Class A;0,055511563;0,14057428
Comfort Systems USA Inc.;0,021237209;0,139953106
Lennar Corporation Class A;0,080403163;0,139838494
Palo Alto Networks Inc.;0,160777449;0,139620821
BNP Paribas S.A. Class A;0,165576462;0,138641464
International Business Machines Corporation;0,264751696;0,138528088
D.R. Horton Inc.;0,103510885;0,138364742
RTX Corporation;0,297515201;0,137741338
Nestle S.A.;0,310892319;0,134898517
Nucor Corporation;0,085147046;0,134724933
Tractor Supply Company;0,094363094;0,134091235
LVMH Moet Hennessy Louis Vuitton SE;0,214023394;0,132827357
NIKE Inc. Class B;0,156135952;0,132044321
3i Group plc;0,028707446;0,130519969
Motorola Solutions Inc.;0,080039562;0,130328053
Paychex Inc.;0,006366306;0,130247049
CME Group Inc. Class A;0,089133535;0,127424707
Prudential Financial Inc.;0,011203386;0,125657524
Commerzbank AG;0,024762961;0,125037114
Sprouts Farmers Market Inc.;0,022528847;0,124884252
ONEOK Inc.;0,011480353;0,123521064
Dollar General Corporation;0,060541601;0,123402225
Accenture Plc Class A;0,234789366;0,123375897
KKR & Co Inc;0,122949777;0,12265009
Adobe Inc.;0,228168407;0,122229651
AIA Group Limited;0,181559172;0,120456506
Talen Energy Corp;0,012187866;0,120323769
Waste Management Inc.;0,139511361;0,119696429
Fifth Third Bancorp;0,108249517;0,118985515
3M Company;0,139306589;0,118415834
AXA SA;0,113425258;0,116996184
Ulta Beauty Inc.;0,077688623;0,116869606
Target Corporation;0,087655502;0,115867792
ServiceNow Inc.;0,251983643;0,115410642
EQT Corporation;0,015474718;0,114443265
BASF SE;0,100184654;0,113849977
Fortinet Inc.;0,101258394;0,113344456
Allstate Corporation;0,071223869;0,113176566
Sherwin-Williams Company;0,116975951;0,113016563
Siemens Aktiengesellschaft;0,303747617;0,11295995
Standard Chartered PLC;0,108824454;0,112373641
Illinois Tool Works Inc.;0,031515184;0,111845687
Bristol-Myers Squibb Company;0,160533297;0,111473226
ANZ Group Holdings Limited;0,089549642;0,11095165
Pfizer Inc.;0,194787962;0,110874789
Booking Holdings Inc.;0,269804049;0,110508263
Arch Capital Group Ltd.;0,008950895;0,110392062
Suncor Energy Inc.;0,115430973;0,110122581
Intel Corporation;0,137753736;0,11004103
McDonald's Corporation;0,294068207;0,109401173
Raymond James Financial Inc.;0,004524672;0,109067304
Tapestry Inc.;0,088654421;0,108436846
Diamondback Energy Inc.;0,072300234;0,108348457
Tokio Marine Holdings Inc.;0,136362337;0,107620427
Corning Inc;0,152904231;0,107551609
State Street Corporation;0,117231915;0,107512001
NVR Inc.;0,002810363;0,106629769
Swiss Life Holding AG;0,077813324;0,106004419
Cognizant Technology Solutions Corporation Class A;0,051055149;0,105510754
Devon Energy Corporation;0,056711316;0,10502714
Hershey Company;0,001278512;0,104966444
Boston Scientific Corporation;0,26572305;0,103685738
Toronto-Dominion Bank;0,14798183;0,103567992
Occidental Petroleum Corporation;0,078267497;0,103491131
Cie Generale des Etablissements Michelin SA;0,064538591;0,103342288
Smurfit Westrock PLC;0,010165087;0,102705534
Steel Dynamics Inc.;0,005912132;0,102475513
Intuitive Surgical Inc.;0,214997374;0,102382451
Koninklijke Ahold Delhaize N.V.;0,014547994;0,102071224
Air Liquide SA;0,118832024;0,101993568
Fujikura Ltd;0,015524598;0,101538084
Garmin Ltd.;0,018571237;0,100557081
Carlisle Companies Incorporated;0,002721104;0,100337631
Exelon Corporation;0,005795307;0,100330601
Packaging Corporation of America;0,005096983;0,099300052
Honeywell International Inc.;0,191167699;0,099211455
Old Dominion Freight Line Inc.;0,058223478;0,099015644
Darden Restaurants Inc.;0,006974059;0,097754603
AppLovin Corp. Class A;0,150693745;0,097486247
Munchener Ruckversicherungs-Gesellschaft AG;0,140981518;0,097411545
Amphenol Corporation Class A;0,123713734;0,097104498
Salesforce Inc.;0,341883759;0,096709063
PulteGroup Inc.;0,005434331;0,096338554
Public Service Enterprise Group Inc;0,089200479;0,096319278
Allianz SE;0,221287546;0,096194435
lululemon athletica inc.;0,040112978;0,096041621
Schlumberger Limited;0,126765623;0,095850357
Moody's Corporation;0,069016008;0,095264153
Flex Ltd;0,003731837;0,09475151
BPER Banca S.p.A.;0,020751532;0,09444294
DBS Group Holdings Ltd;0,129762381;0,094210231
Huntington Bancshares Incorporated;0,002257742;0,094130944
Analog Devices Inc.;0,160121128;0,093919385
Archer-Daniels-Midland Company;0,065034769;0,093825361
Infineon Technologies AG;0,092819429;0,09284608
Kinder Morgan Inc Class P;0,090937103;0,092514714
RPM International Inc.;0,001310015;0,092428821
AerCap Holdings NV;0,007766893;0,092363056
LPL Financial Holdings Inc.;0,016162541;0,092047782
Ashtead Group plc;0,095803061;0,091207154
East West Bancorp Inc.;0,091853326;0,090845562
Kimberly-Clark Corporation;0,093743528;0,090715456
Edwards Lifesciences Corporation;0,078543152;0,090176761
ENGIE S.A.;0,093723838;0,090120024
Cencora Inc.;0,022031357;0,089877067
Repsol SA;0,002805113;0,089805168
Celestica Inc.;0,024575254;0,089757231
Canadian Imperial Bank of Commerce;0,025555796;0,089640533
M&T Bank Corporation;0,00546846;0,089247261
Verisk Analytics Inc.;0,006493632;0,088582507
Martin Marietta Materials Inc.;0,053156686;0,087971913
Northern Trust Corporation;0,002671223;0,087766754
Hitachi Ltd.;0,185491842;0,087148281
TechnipFMC plc;0,003584821;0,086883145
Cadence Design Systems Inc.;0,147036729;0,086137274
UnitedHealth Group Incorporated;0,379840069;0,085570453
Aptiv PLC;0,051985811;0,085386837
Texas Pacific Land Corporation;0,018719565;0,085161531
Bank of Nova Scotia;0,088205498;0,08495793
Mitsubishi Heavy Industries Ltd.;0,105255384;0,08486495
Uber Technologies Inc.;0,242415807;0,084410654
Coterra Energy Inc.;0,06550732;0,084227573
Monster Beverage Corporation;0,07191563;0,084134476
Rolls-Royce Holdings plc;0,217957378;0,083098135
DoorDash Inc. Class A;0,100692646;0,083017173
Parker-Hannifin Corporation;0,155133095;0,082906859
Agnico Eagle Mines Limited;0,076396985;0,082818452
Lennox International Inc.;0,082895867;0,082474279
Expeditors International of Washington Inc.;0,067044422;0,082435829
Intuit Inc.;0,244300758;0,081418917
Norwegian Cruise Line Holdings Ltd.;0,002866807;0,081220959
First Citizens BancShares Inc. Class A;0,006803415;0,081209483
Regeneron Pharmaceuticals Inc.;0,091471347;0,081014292
Paycom Software Inc.;0,003586134;0,080731122
Coinbase Global Inc. Class A;0,081727618;0,0807249
National Bank of Canada;0,083279158;0,079611901
Royal KPN NV;0,017766588;0,07954712
PG&E Corporation;0,011187634;0,07938708
Deutsche Post AG;0,065050521;0,079289299
Loews Corporation;0,089056089;0,079165109
Celsius Holdings Inc.;0,004000928;0,079113783
Trane Technologies plc;0,129109999;0,079103672
KDDI Corporation;0,08562616;0,079053439
Brambles Limited;0,003110958;0,078926719
Take-Two Interactive Software Inc.;0,024495183;0,078038243
Iberdrola SA;0,200743411;0,077757201
Markel Group Inc.;0,001363833;0,077600951
Consolidated Edison Inc.;0,006043396;0,077286276
Lowe's Companies Inc.;0,248784738;0,077167485
W. R. Berkley Corporation;0,00518493;0,076734202
Next plc;0,083900037;0,07673404
Logitech International S.A.;0,001323142;0,076197223
TDK Corporation;0,002454638;0,075980246
Kenvue Inc.;0,013150032;0,075480213
Spotify Technology SA;0,132199954;0,075270348
Sumitomo Electric Industries Ltd.;0,009034904;0,074983809
Medtronic Plc;0,18977105;0,074980842
Banco de Sabadell SA;0,009808049;0,07491171
Manulife Financial Corporation;0,01811575;0,074616469
IHI Corporation;0,015758248;0,074598042
Halliburton Company;0,054663597;0,074520329
Societe Generale S.A. Class A;0,030398127;0,073917578
RenaissanceRe Holdings Ltd.;0,006787664;0,073797603
Deutsche Boerse AG;0,129217635;0,073497877
Sompo HoldingsInc.;0,017922792;0,073249477
Mitsubishi Corporation;0,122435222;0,073199666
Banco Comercial Portugues S.A.;0,012722111;0,072990821
Anglo American plc;0,070576737;0,072620678
Sterling Infrastructure Inc.;0,006698404;0,072332087
Reliance Inc.;0,002016216;0,072285106
Owens Corning;0,072285795;0,072062445
CenterPoint Energy Inc.;0,002214424;0,072054097
Elevance Health Inc.;0,098543854;0,071972999
Atmos Energy Corporation;0,008635861;0,071643523
Autodesk Inc.;0,095167743;0,071319265
SoFi Technologies Inc;0,01909498;0,071283311
Globe Life Inc.;0,006767974;0,070711885
Everest Group Ltd.;0,002354877;0,070685482
L'Oreal S.A.;0,129964527;0,070623231
Eaton Corp. Plc;0,167601866;0,070559116
Snap-on Incorporated;0,0045588;0,070552485
BJ's Wholesale Club Holdings Inc.;0,007311407;0,070451766
Prosus N.V. Class N;0,15111379;0,070361838
Synopsys Inc.;0,126021356;0,070295747
Bank of Montreal;0,042383846;0,069809568
Marsh & McLennan Companies Inc.;0,140011477;0,069741257
Danaher Corporation;0,213315881;0,069618738
Texas Roadhouse Inc.;0,033810992;0,069463194
Blackstone Inc.;0,176470065;0,069001427
Compass Group PLC;0,084807072;0,068794637
Corteva Inc;0,090792712;0,068679288
McKesson Corporation;0,164771813;0,068336062
Industria de Diseno Textil S.A.;0,094680753;0,068066807
Copart Inc.;0,019102856;0,067892092
Lincoln Electric Holdings Inc.;0,081392894;0,067799439
Macquarie Group Ltd.;0,091231134;0,067131265
Burlington Stores Inc.;0,00520987;0,067055306
Dick's Sporting Goods Inc.;0,009348625;0,06703711
Daiichi Sankyo Company Limited;0,065446938;0,067018563
Intesa Sanpaolo S.p.A.;0,165504267;0,066956848
S&P Global Inc.;0,259690154;0,066808553
Exelixis Inc.;0,045465926;0,066412127
Strategy Inc Class A;0,117469503;0,066230249
ON Semiconductor Corporation;0,033199301;0,065988705
Fujitsu Limited;0,038936853;0,065855227
Barrick Mining Corporation;0,015721494;0,065458997
Daimler Truck Holding AG;0,004455102;0,065436016
Cenovus Energy Inc.;0,079746843;0,065416519
Siemens Energy AG;0,094095315;0,065325272
J.B. Hunt Transport Services Inc.;0,001027797;0,065230898
MTU Aero Engines AG;0,087025434;0,064836018
Constellation Brands Inc. Class A;0,004715004;0,064810346
Intercontinental Exchange Inc.;0,134227984;0,064707033
EssilorLuxottica SA;0,087780202;0,064595934
Reinsurance Group of America Incorporated;0,004637559;0,064242821
adidas AG;0,075606775;0,064192598
LyondellBasell Industries NV;0,047633095;0,064057413
Oversea-Chinese Banking Corporation Limited;0,092717043;0,06396209
Dollar Tree Inc.;0,01559023;0,063838894
Compagnie Financiere Richemont SA;0,146141508;0,063793224
Citizens Financial Group Inc.;0,002606904;0,06361742
Best Buy Co. Inc.;0,051676028;0,063575202
Dai-ichi Life HoldingsInc.;0,093146276;0,063484239
E.ON SE;0,058496507;0,063404072
Swisscom AG;0,031973295;0,063328072
CRH public limited company;0,060309264;0,063198545
NN Group N.V.;0,008559728;0,063171594
Pan American Silver Corp.;0,005137675;0,063072566
Bayerische Motoren Werke AG;0,062606385;0,063063332
Apollo Global Management Inc;0,114626324;0,06272515
Regions Financial Corporation;0,002931126;0,062546664
QBE Insurance Group Limited;0,001417652;0,062261458
Ovintiv Inc;0,001400587;0,062187747
Volvo AB Class B;0,102445021;0,062133306
Fortescue Ltd;0,008417963;0,062037948
AEON Co. Ltd.;0,013127717;0,061993108
Enel SpA;0,100275227;0,061767723
Cincinnati Financial Corporation;0,00212779;0,061463359
United Overseas Bank Limited;0,083774024;0,061261683
ABB Ltd.;0,182673603;0,061217733
Quanta Services Inc.;0,056536735;0,061103663
Equitable Holdings Inc.;0,086878418;0,060922967
United Therapeutics Corporation;0,005342446;0,060707988
Stryker Corporation;0,167435161;0,06054569
Newmont Corporation;0,133080736;0,060508418
Nutrien Ltd.;0,053454656;0,060466475
BOC Hong Kong (Holdings) Limited;0,007740641;0,060433722
Electronic Arts Inc.;0,017140459;0,060301444
Assurant Inc.;0,071731861;0,060238149
Prysmian S.p.A.;0,010784654;0,05984178
Mitsubishi Electric Corp.;0,095859504;0,05982183
Bank Leumi Le-Israel B.M.;0,005167865;0,059638223
Mercedes-Benz Group AG;0,068880806;0,059602373
Bunge Global SA;0,002385068;0,059445382
DSM-Firmenich AG;0,002534709;0,059349749
International Paper Company;0,063225951;0,059156152
Reckitt Benckiser Group plc;0,110664775;0,059148922
NXP Semiconductors NV;0,103547639;0,059044156
FTAI Aviation Ltd.;0,014660881;0,059029906
NEC Corporation;0,030684282;0,058980648
Nextracker Inc. Class A;0,002742106;0,058929079
Schneider Electric SE;0,211711835;0,058747493
CrowdStrike Holdings Inc. Class A;0,161390452;0,058729873
BT Group plc;0,081469027;0,058694774
OceanaGold Corporation;0,00215273;0,058627485
Marks and Spencer Group plc;0,001320516;0,058613296
Sysco Corporation;0,098396838;0,058554224
Nordea Bank Abp;0,066071755;0,058552958
Advanced Drainage Systems Inc.;0,006048647;0,058348999
MS&AD Insurance Group Holdings Inc.;0,09392861;0,057939143
Eiffage SA;0,00416107;0,057836591
Airbnb Inc. Class A;0,087518987;0,057639073
Dollarama Inc.;0,003348546;0,05753431
Viatris Inc.;0,003646515;0,057312329
Masimo Corporation;0,005788744;0,057091324
Rio Tinto Limited;0,049011368;0,057009317
Principal Financial Group Inc.;0,001380898;0,056950715
Broadridge Financial Solutions Inc.;0,003588759;0,056871275
Cigna Group;0,153576303;0,056284523
KeyCorp;0,002727667;0,056256783
KBC Group N.V.;0,003621575;0,056052409
ITT Inc.;0,091309893;0,055897759
Autoliv Inc.;0,005102233;0,055621638
Fairfax Financial Holdings Limited;0,018018615;0,05557358
O'Reilly Automotive Inc.;0,117783224;0,055368529
Unum Group;0,016366001;0,055331254
Aon Plc Class A;0,132971787;0,055114755
Admiral Group plc;0,001409776;0,054817886
Geberit AG;0,014431169;0,054418135
Pool Corporation;0,019942946;0,054025202
Ryohin Keikaku Co. Ltd.;0,023026338;0,05401334
Builders FirstSource Inc.;0,006426687;0,053976211
Bankinter SA;0,020961555;0,053883316
Legal & General Group Plc;0,061422383;0,053637855
Veeva Systems Inc Class A;0,117842293;0,053513452
Woolworths Group Ltd;0,066413042;0,053464261
Asics Corporation;0,015788439;0,053204718
Bank Hapoalim BM;0,003851287;0,05309086
Banca Monte dei Paschi di Siena S.p.A.;0,002629219;0,053062854
Old Republic International Corporation;0,012435955;0,052955225
DexCom Inc.;0,05741883;0,052905578
Toll Brothers Inc.;0,007144702;0,052884659
Credit Agricole SA;0,006584204;0,052881828
Tourmaline Oil Corp.;0,001135434;0,052633495
Stride Inc.;0,006783726;0,052565411
Ally Financial Inc;0,00236144;0,052557922
Kyndryl Holdings Incorporation;0,001292951;0,052502379
FAST RETAILING CO. LTD.;0,044027272;0,052226179
Komatsu Ltd.;0,097607941;0,052185424
Erste Group Bank AG;0,016493327;0,052116096
Hermes International SCA;0,083934166;0,052085297
Five Below Inc.;0,002911436;0,052001785
Aena SME SA;0,002945565;0,051843914
Armstrong World Industries Inc.;0,017551315;0,051529008
Centene Corporation;0,022482905;0,051380798
Aviva plc;0,10264848;0,051072789
T. Rowe Price Group;0,090857032;0,05092343
Constellation Energy Corporation;0,132763077;0,050581983
American Financial Group Inc.;0,006450315;0,050512459
Hewlett Packard Enterprise Co.;0,070462537;0,05047514
Nintendo Co. Ltd.;0,113198171;0,05044074
Vonovia SE;0,014558495;0,050413304
Textron Inc.;0,0237181;0,05024156
APA Corporation;0,001195815;0,05022325
Colgate-Palmolive Company;0,09811462;0,050183287
SLM Corp;0,009664971;0,050078457
TransDigm Group Incorporated;0,113761294;0,049953437
First Solar Inc.;0,0149536;0,04977105
Shopify Inc. Class A;0,257606994;0,04948104
PayPal Holdings Inc.;0,122289519;0,048697055
Pan Pacific International Holdings Corporation;0,015785814;0,048687004
Continental AG;0,005406766;0,048618452
DuPont de Nemours Inc.;0,057127423;0,048504179
Starbucks Corporation;0,135485493;0,048445551
Evolution Mining Limited;0,007593625;0,04844291
Fox Corporation Class A;0,044784666;0,048376847
Coles Group Ltd.;0,007215584;0,048040218
Julius Baer Gruppe AG;0,002470389;0,047948416
Jazz Pharmaceuticals Public Limited Company;0,039972526;0,047756474
Seibu Holdings Inc.;0,028359596;0,047709972
Resona Holdings Inc.;0,01437735;0,047601292
Marvell Technology Inc.;0,088030917;0,04752792
Coca-Cola Consolidated Inc.;0,008160685;0,047497311
WH Group Ltd. (HK);0,00254521;0,047481816
Danske Bank A/S;0,083193837;0,047302434
Modine Manufacturing Company;0,002882558;0,047295385
Block Inc. Class A;0,076209277;0,047253154
CaixaBank SA;0,014297279;0,047208615
Saia Inc.;0,002192109;0,047058391
Loblaw Companies Limited;0,001126245;0,046870703
Covestro AG TEMP;0,006911052;0,046790491
BorgWarner Inc.;0,005166553;0,046614237
Hilton Worldwide Holdings Inc.;0,091867765;0,046398052
ATI Inc.;0,001513474;0,046262905
WESCO International Inc.;0,00152135;0,046158398
Atlas Copco AB Class A;0,04071023;0,046061305
Danone SA;0,122168756;0,045902284
Getlink SE;0,003592697;0,045837304
Alamos Gold Inc.;0,008164623;0,045833739
East Japan Railway Company;0,09946664;0,045661893
Sumitomo Mitsui Trust Group Inc.;0,004529922;0,045634508
GoDaddy Inc. Class A;0,00201359;0,045501058
Graco Inc.;0,022715242;0,045464049
Israel Discount Bank Limited Class A;0,001727435;0,045446753
Expand Energy Corporation;0,008957458;0,045293283
Legrand SA;0,122919586;0,045243981
Kraft Heinz Company;0,003229095;0,04511258
BAE Systems plc;0,124072085;0,044898133
Donaldson Company Inc.;0,006479193;0,044886866
Teck Resources Limited Class B;0,055506313;0,044885441
Thermo Fisher Scientific Inc.;0,29276738;0,044649157
NTT Inc;0,010990738;0,04457556
HF Sinclair Corporation;0,000662883;0,044508642
CDW Corporation;0,003429929;0,04442205
Arrow Electronics Inc.;0,004451164;0,044319234
Mondelez International Inc. Class A;0,091439844;0,044276082
Northern Star Resources Ltd;0,007681572;0,044185167
Central Japan Railway Company;0,067472343;0,04416756
Affirm Holdings Inc. Class A;0,019625287;0,04407593
Curtiss-Wright Corporation;0,06267858;0,04401316
Swedbank AB Class A;0,099369505;0,043995537
A. O. Smith Corporation;0,006298049;0,043799226
Fidelity National Financial Inc. - FNF Group;0,077695186;0,043738752
CBRE Group Inc. Class A;0,146646874;0,043681046
Frontier Communications Parent Inc.;0,002022779;0,043644043
Suzuki Motor Corp.;0,008685742;0,043604115
Skandinaviska Enskilda Banken AB Class A;0,108294147;0,043209478
AutoZone Inc.;0,089755726;0,042955923
Banco BPM SpA;0,099815802;0,042943041
Sandvik AB;0,109054166;0,042937366
Bank of Ireland Group Plc;0,003769903;0,042914262
Live Nation Entertainment Inc.;0,004537798;0,04271714
Warner Bros. Discovery Inc. Series A;0,021301529;0,042580932
JB Hi-Fi Limited;0,081472965;0,042539806
Microchip Technology Incorporated;0,065827604;0,042518843
Enbridge Inc.;0,110425875;0,042511595
Auto Trader Group PLC;0,068140477;0,042478249
AIB Group plc;0,002056908;0,042463382
Skyworks Solutions Inc.;0,002290558;0,042391036
Gildan Activewear Inc.;0,002858931;0,042327563
Teva Pharmaceutical Industries Limited Sponsored ADR;0,017910978;0,042252526
HCA Healthcare Inc;0,092709167;0,042062931
XPO Inc.;0,006112966;0,041987197
Nitto Denko Corp.;0,005765117;0,04195819
Mitsui & Co.Ltd;0,099618906;0,041897384
Lonza Group AG;0,071053226;0,041635304
Ebara Corporation;0,000368852;0,041565308
Toyota Tsusho Corp.;0,007517492;0,04140143
Pandora A/S;0,001940083;0,041345592
Air Lease Corporation Class A;0,015822568;0,041314571
Lyft Inc. Class A;0,002096287;0,04125525
Teradyne Inc.;0,007497802;0,041221718
Equinox Gold Corp.;0,003310479;0,04113003
Axon Enterprise Inc;0,106863369;0,041006657
Coca-Cola Europacific Partners plc;0,003091268;0,040880402
Lear Corporation;0,002973131;0,04087846
Alcon AG;0,070105499;0,040838924
SEI Investments Company;0,002467764;0,040680233
Monolithic Power Systems Inc.;0,071578282;0,040624579
Biogen Inc.;0,068237612;0,040585692
Northrop Grumman Corp.;0,157503723;0,040522941
V.F. Corporation;0,001547603;0,040498387
Universal Health Services Inc. Class B;0,008256508;0,040490508
SCOR SE;0,005847813;0,040416453
Whitecap Resources Inc.;0,052972917;0,040405106
Mosaic Company;0,002782798;0,04030237
Subaru Corporation;0,004285771;0,040299438
First Horizon Corporation;0,007703887;0,040295571
Vulcan Materials Company;0,054629469;0,040278145
Centrica plc;0,005551156;0,040105102
DNB Bank ASA;0,007462361;0,040067011
Imperial Oil Limited;0,028083942;0,040028285
nVent Electric plc;0,062574881;0,039992562
Sempra;0,022476342;0,039823823
UNIPOL ASSICURAZIONI SPA;0,021020624;0,039749254
Howmet Aerospace Inc.;0,05861202;0,039746145
Dow Inc.;0,033271497;0,039685981
Ciena Corporation;0,008914141;0,039616732
Woodward Inc.;0,001697244;0,039587228
Hubbell Incorporated;0,00301776;0,039507552
Canadian National Railway Company;0,057275752;0,039451248
Pure Storage Inc. Class A;0,01038036;0,039417514
Neurocrine Biosciences Inc.;0,050257064;0,039412431
ARC Resources Ltd.;0,005456646;0,03931448
Keysight Technologies Inc;0,004569301;0,039261774
Carlyle Group Inc;0,003100457;0,039261758
Suncorp Group Limited;0,001210254;0,039229537
SoftBank Corp.;0,067993461;0,039196414
Sun Life Financial Inc.;0,088219937;0,039170849
SGS SA;0,003935296;0,039086527
Tokyo Electron Ltd.;0,102091921;0,038998206
Saab AB Class B;0,012429392;0,038956637
Ecolab Inc.;0,133695052;0,038904155
Manhattan Associates Inc.;0,073888529;0,038898009
Cintas Corporation;0,047627845;0,038845768
Hannover Rueck SE;0,001013358;0,038805207
Intact Financial Corporation;0,014519116;0,03838459
Grand Canyon Education Inc.;0,016010275;0,038322109
Molson Coors Beverage Company Class B;0,000723265;0,038279371
